id,company,country,classification,provider,identifier,corporateCareersUrl,additionalCareersUrls,atsBoardUrl,boardState,status,enabled,lastCheckedAt,error
company-0c99d172d7f3402793850cd6,BitOasis,United Arab Emirates,direct-employer,custom,,https://bitoasis.net/en/careers,,,active-empty,monitored,true,2026-07-24T09:41:55.357Z,
company-99a3feb6882f6557a0f24989,Careem,Saudi Arabia; United Arab Emirates,direct-employer,custom,,https://www.careem.com/en-AE/careers/,,,active-empty,monitored,true,2026-07-24T09:41:55.359Z,
company-0d797a189cab2d640414f0b3,Dubizzle Group,United Arab Emirates,direct-employer,custom,,https://www.dubizzlegroup.com/careers/,,,active-empty,monitored,true,2026-07-24T09:41:55.361Z,
company-c8fb722617e5b1164f0fadab,Mozn,Saudi Arabia,direct-employer,custom,,https://www.mozn.sa/careers,,,active-empty,monitored,true,2026-07-24T09:41:55.362Z,
company-3207db9fd6abbc04d226eb26,Salla,Saudi Arabia,direct-employer,custom,,https://jobs.salla.com/,,,active-empty,monitored,true,2026-07-24T09:41:55.872Z,
company-b593152842c0266ad406636b,Tabby,Saudi Arabia; United Arab Emirates,direct-employer,custom,,https://tabby.ai/careers,,,active-empty,monitored,true,2026-07-24T09:41:55.873Z,
company-343cf1524973ad350fe65474,Tamara,Saudi Arabia,direct-employer,custom,,https://tamara.co/en-sa/careers,https://tamara.co/en-ae/careers,,active-empty,monitored,true,2026-07-24T09:41:55.875Z,
